District,students_sat,students_passed,stream,year
Matale,1236,850,commerce,2020
Kandy,4045,2737,commerce,2020
Mullaitivu,225,151,commerce,2020
Kilinochchi,237,159,commerce,2020
Batticaloa,862,565,commerce,2020
Hambantota,1246,814,commerce,2020
Ampara,1217,779,commerce,2020
Trincomalee,720,455,commerce,2020
Vavuniya,356,221,commerce,2020
All Island,53248,38130,commerce,2020
Vavuniya,622,472,arts,2019
Puttalam,2228,1646,arts,2019
Mannar,493,362,arts,2019
Nuwara Eliya,2277,1652,arts,2019
Mullaitivu,450,320,arts,2019
Monaragala,1700,1197,arts,2019
Jaffna,2293,1614,arts,2019
Trincomalee,1355,942,arts,2019
Kegalle,3206,2214,arts,2019
Badulla,3198,2183,arts,2019
Kurunegala,6912,4703,arts,2019
Anuradhapura,3359,2275,arts,2019
Ampara,2157,1435,arts,2019
Kilinochchi,437,290,arts,2019
Ratnapura,3859,2521,arts,2019
Colombo,5161,3324,arts,2019
Batticaloa,1829,1167,arts,2019
Gampaha,6114,3873,arts,2019
Matar,2946,1863,arts,2019
Galle,3571,2223,arts,2019
Hambantota,2340,1441,arts,2019
Polonnaruwa,1452,888,arts,2019
Matale,2139,1286,arts,2019
Kandy,5553,3335,arts,2019
All Island,69297,45675,arts,2019
Kegalle,588,459,bio sys tech,2020
Kurunegala,857,659,bio sys tech,2020
Matale,344,262,bio sys tech,2020
Kilinochchi,59,44,bio sys tech,2020
Colombo,564,419,bio sys tech,2020
Gampaha,649,469,bio sys tech,2020
Mannar,53,38,bio sys tech,2020
Puttalam,237,169,bio sys tech,2020
Badulla,596,419,bio sys tech,2020
Galle,341,237,bio sys tech,2020
Ampara,552,382,bio sys tech,2020
Jaffna,266,184,bio sys tech,2020
Kandy,888,611,bio sys tech,2020
Matara,466,320,bio sys tech,2020
Ratnapura,687,466,bio sys tech,2020
Hambantota,351,238,bio sys tech,2020
Anuradhapura,483,324,bio sys tech,2020
Trincomalee,189,126,bio sys tech,2020
Monaragala,306,202,bio sys tech,2020
Kalutara,436,285,bio sys tech,2020
Batticaloa,343,216,bio sys tech,2020
Polonnaruwa,239,150,bio sys tech,2020
Vavuniya,52,31,bio sys tech,2020
Mullaitivu,46,20,bio sys tech,2020
Nuwara Eliya,424,255,bio sys tech,2020
All Island,10016,6985,bio sys tech,2020
Mannar,60,38,physical science,2019
Batticaloa,363,221,physical science,2019
Colombo,3259,1951,physical science,2019
Jaffna,820,488,physical science,2019
Trincomalee,211,120,physical science,2019
Puttalam,459,254,physical science,2019
Galle,1364,735,physical science,2019
Kalutara,1110,582,physical science,2019
Kurunegala,1480,769,physical science,2019
Gampaha,2065,1067,physical science,2019
Matar,1102,567,physical science,2019
Ratnapura,740,371,physical science,2019
Kandy,1189,587,physical science,2019
Badulla,791,390,physical science,2019
Kilinochchi,111,54,physical science,2019
Kegalle,779,367,physical science,2019
Hambantota,808,372,physical science,2019
Ampara,561,254,physical science,2019
Mullaitivu,96,42,physical science,2019
Matale,265,113,physical science,2019
Anuradhapura,610,251,physical science,2019
Monaragala,243,98,physical science,2019
Nuwara Eliya,387,155,physical science,2019
Polonnaruwa,218,82,physical science,2019
Vavuniya,127,47,physical science,2019
All Island,19218,9975,physical science,2019
Mannar,227,174,commerce,2019
Puttalam,1412,1046,commerce,2019
Colombo,8718,6246,commerce,2019
Kurunegala,2657,1900,commerce,2019
Mullaitivu,177,124,commerce,2019
Kilinochchi,188,131,commerce,2019
Jaffna,930,648,commerce,2019
Kalutara,2763,1921,commerce,2019
Batticaloa,771,535,commerce,2019
Matar,1530,1048,commerce,2019
Ampara,964,652,commerce,2019
Gampaha,5613,3687,commerce,2019
Anuradhapura,1593,1040,commerce,2019
Galle,2379,1550,commerce,2019
Polonnaruwa,753,489,commerce,2019
Nuwara Eliya,1154,739,commerce,2019
Vavuniya,320,204,commerce,2019
Badulla,1599,1016,commerce,2019
Hambantota,922,584,commerce,2019
Kegalle,1508,954,commerce,2019
Ratnapura,1911,1202,commerce,2019
Kandy,3275,2047,commerce,2019
Monaragala,796,483,commerce,2019
Trincomalee,569,342,commerce,2019
Matale,914,547,commerce,2019
All Island,43645,29309,commerce,2019
Batticaloa,823,643,commerce,2022
Vavuniya,313,240,commerce,2022
Mullaitivu,205,153,commerce,2022
Puttalam,1446,1079,commerce,2022
Mannar,235,174,commerce,2022
Colombo,9574,6935,commerce,2022
Kegalle,2138,1543,commerce,2022
Badulla,2185,1572,commerce,2022
Jaffna,860,616,commerce,2022
Kurunegala,3790,2705,commerce,2022
Matara,2153,1536,commerce,2022
Monaragala,1272,905,commerce,2022
Kandy,4184,2902,commerce,2022
Nuwara Eliya,1588,1094,commerce,2022
Trincomalee,685,470,commerce,2022
Gampaha,6466,4408,commerce,2022
Kalutara,3619,2453,commerce,2022
Matale,1197,808,commerce,2022
Galle,2994,2003,commerce,2022
Ratnapura,2974,1975,commerce,2022
Ampara,1192,787,commerce,2022
Anuradhapura,2181,1364,commerce,2022
Polonnaruwa,1023,623,commerce,2022
Kilinochchi,258,151,commerce,2022
All Island,54692,37936,commerce,2022
Colombo,1720,1260,eng tech,2020
Ratnapura,1060,728,eng tech,2020
Matar,1077,733,eng tech,2020
Matale,443,301,eng tech,2020
Galle,1002,648,eng tech,2020
Nuwara Eliya,508,322,eng tech,2020
Puttalam,533,335,eng tech,2020
Badulla,821,514,eng tech,2020
Gampaha,1772,1107,eng tech,2020
Kurunegala,1702,1058,eng tech,2020
Kalutara,946,578,eng tech,2020
Monaragala,502,302,eng tech,2020
Hambantota,769,458,eng tech,2020
Kegalle,924,536,eng tech,2020
Batticaloa,333,222,eng tech,2020
Kandy,1277,734,eng tech,2020
Anuradhapura,922,519,eng tech,2020
Trincomalee,215,118,eng tech,2020
Polonnaruwa,385,211,eng tech,2020
Ampara,708,366,eng tech,2020
Jaffna,486,218,eng tech,2020
Vavuniya,57,25,eng tech,2020
Kilinochchi,70,28,eng tech,2020
Mannar,83,31,eng tech,2020
Mullaitivu,30,10,eng tech,2020
All Island,18395,11362,eng tech,2020
Mannar,606,504,arts,2022
Mullaitivu,602,477,arts,2022
Trincomalee,1722,1356,arts,2022
Kilinochchi,670,495,arts,2022
Batticaloa,2688,1980,arts,2022
Badulla,4161,2981,arts,2022
Jaffna,2604,1859,arts,2022
Ampara,3474,2474,arts,2022
Nuwara Eliya,2974,2103,arts,2022
Vavuniya,722,509,arts,2022
Puttalam,2825,1988,arts,2022
Monaragala,2242,1556,arts,2022
Kandy,4048,2801,arts,2022
Polonnaruwa,1743,1152,arts,2022
Ratnapura,5025,3318,arts,2022
Anuradhapura,4270,2807,arts,2022
Matale,2679,1745,arts,2022
Kurunegala,8467,5497,arts,2022
Galle,4627,2983,arts,2022
Kalutara,4556,2936,arts,2022
Matara,3663,2297,arts,2022
Gampaha,6801,4234,arts,2022
Colombo,5950,3684,arts,2022
Kegalle,4565,2804,arts,2022
Hambantota,2952,1804,arts,2022
All Island,86580,57550,arts,2022
Matale,322,223,eng tech,2019
Colombo,1185,818,eng tech,2019
Kalutara,622,418,eng tech,2019
Anuradhapura,578,376,eng tech,2019
Puttalam,400,252,eng tech,2019
Matara,619,381,eng tech,2019
Kurunegala,1268,757,eng tech,2019
Badulla,539,316,eng tech,2019
Galle,560,330,eng tech,2019
Gampaha,1335,762,eng tech,2019
Batticaloa,284,160,eng tech,2019
Hambantota,431,234,eng tech,2019
Ratnapura,743,403,eng tech,2019
Mullaitivu,74,11,eng tech,2019
Trincomalee,135,70,eng tech,2019
Kegalle,637,323,eng tech,2019
Jaffna,348,170,eng tech,2019
Vavuniya,43,21,eng tech,2019
Kandy,872,425,eng tech,2019
Monaragala,300,142,eng tech,2019
Polonnaruwa,221,102,eng tech,2019
Nuwara Eliya,427,194,eng tech,2019
Ampara,492,204,eng tech,2019
Kilinochchi,62,24,eng tech,2019
Mannar,35,9,eng tech,2019
All Island,12487,7135,eng tech,2019
Colombo,405,302,bio sys tech,2019
Kegalle,365,268,bio sys tech,2019
Matara,258,189,bio sys tech,2019
Kurunegala,573,416,bio sys tech,2019
Gampaha,415,298,bio sys tech,2019
Trincomalee,132,93,bio sys tech,2019
Hambantota,206,145,bio sys tech,2019
Badulla,375,259,bio sys tech,2019
Monaragala,179,123,bio sys tech,2019
Matale,258,176,bio sys tech,2019
Anuradhapura,223,150,bio sys tech,2019
Puttalam,183,123,bio sys tech,2019
Galle,202,134,bio sys tech,2019
Jaffna,160,106,bio sys tech,2019
Ampara,352,232,bio sys tech,2019
Ratnapura,438,285,bio sys tech,2019
Batticaloa,223,144,bio sys tech,2019
Kalutara,258,166,bio sys tech,2019
Kandy,572,361,bio sys tech,2019
Mannar,40,24,bio sys tech,2019
Nuwara Eliya,301,178,bio sys tech,2019
Mullaitivu,24,13,bio sys tech,2019
Polonnaruwa,141,72,bio sys tech,2019
Kilinochchi,52,26,bio sys tech,2019
Vavuniya,50,24,bio sys tech,2019
All Island,6385,4307,bio sys tech,2019
Colombo,2688,1838,bio science,2019
Kilinochchi,114,72,bio science,2019
Jaffna,779,482,bio science,2019
Kalutara,1018,609,bio science,2019
Gampaha,1648,970,bio science,2019
Batticaloa,502,293,bio science,2019
Puttalam,493,284,bio science,2019
Matar,985,552,bio science,2019
Trincomalee,331,182,bio science,2019
Mannar,102,56,bio science,2019
Galle,1271,694,bio science,2019
Kandy,1615,860,bio science,2019
Mullaitivu,81,42,bio science,2019
Kurunegala,1567,802,bio science,2019
Badulla,784,399,bio science,2019
Ratnapura,943,476,bio science,2019
Vavuniya,170,85,bio science,2019
Ampara,730,355,bio science,2019
Kegalle,972,467,bio science,2019
Nuwara Eliya,518,239,bio science,2019
Hambantota,722,317,bio science,2019
Matale,443,179,bio science,2019
Anuradhapura,703,266,bio science,2019
Monaragala,372,136,bio science,2019
Polonnaruwa,338,117,bio science,2019
All Island,19889,10772,bio science,2019
Colombo,5066,3440,physical science,2020
Galle,2442,1620,physical science,2020
Mannar,118,78,physical science,2020
Jaffna,1341,880,physical science,2020
Puttalam,761,487,physical science,2020
Matar,1989,1258,physical science,2020
Kalutara,2029,1272,physical science,2020
Kurunegala,2624,1618,physical science,2020
Trincomalee,368,224,physical science,2020
Badulla,1347,817,physical science,2020
Gampaha,3467,2097,physical science,2020
Kegalle,1410,852,physical science,2020
Kandy,2098,1261,physical science,2020
