District,year,degree,z-score_cutoff
KALUTARA,2019,MEDICINE University of Jaffna,NQC
MATALE,2019,MEDICINE University of Jaffna,NQC
KANDY,2019,MEDICINE University of Jaffna,1.9955
NUWARA ELIYA,2019,MEDICINE University of Jaffna,1.9626
GALLE,2019,MEDICINE University of Jaffna,NQC
MATARA,2019,MEDICINE University of Jaffna,NQC
HAMBANTOTA,2019,MEDICINE University of Jaffna,NQC
JAFFNA,2019,MEDICINE University of Jaffna,1.9573
KILINOCHCHI,2019,MEDICINE University of Jaffna,2.0841
MANNAR,2019,MEDICINE University of Jaffna,NQC
MULLAITIVU,2019,MEDICINE University of Jaffna,2.1642
VAVUNIYA,2019,MEDICINE University of Jaffna,2.0422
TRINCOMALEE,2019,MEDICINE University of Jaffna,1.9576
BATTICALOA,2019,MEDICINE University of Jaffna,1.9561
AMPARA,2019,MEDICINE University of Jaffna,1.9583
PUTTALAM,2019,MEDICINE University of Jaffna,1.9714
KURUNEGALA,2019,MEDICINE University of Jaffna,NQC
ANURADHAPURA,2019,MEDICINE University of Jaffna,1.9929
POLONNARUWA,2019,MEDICINE University of Jaffna,2.0086
BADULLA,2019,MEDICINE University of Jaffna,1.959
MONARAGALA,2019,MEDICINE University of Jaffna,NQC
KEGALLE,2019,MEDICINE University of Jaffna,NQC
RATNAPURA,2019,MEDICINE University of Jaffna,2.0379
COLOMBO,2019,MEDICINE University of Ruhuna,2.1392
GAMPAHA,2019,MEDICINE University of Ruhuna,2.1446
KALUTARA,2019,MEDICINE University of Ruhuna,2.1625
MATALE,2019,MEDICINE University of Ruhuna,NQC
KANDY,2019,MEDICINE University of Ruhuna,2.1403
NUWARA ELIYA,2019,MEDICINE University of Ruhuna,NQC
GALLE,2019,MEDICINE University of Ruhuna,2.14
MATARA,2019,MEDICINE University of Ruhuna,2.145
HAMBANTOTA,2019,MEDICINE University of Ruhuna,2.176
JAFFNA,2019,MEDICINE University of Ruhuna,NQC
KILINOCHCHI,2019,MEDICINE University of Ruhuna,NQC
MANNAR,2019,MEDICINE University of Ruhuna,2.1435
MULLAITIVU,2019,MEDICINE University of Ruhuna,NQC
VAVUNIYA,2019,MEDICINE University of Ruhuna,NQC
TRINCOMALEE,2019,MEDICINE University of Ruhuna,2.186
BATTICALOA,2019,MEDICINE University of Ruhuna,NQC
AMPARA,2019,MEDICINE University of Ruhuna,NQC
PUTTALAM,2019,MEDICINE University of Ruhuna,2.1608
KURUNEGALA,2019,MEDICINE University of Ruhuna,2.1687
ANURADHAPURA,2019,MEDICINE University of Ruhuna,2.1591
POLONNARUWA,2019,MEDICINE University of Ruhuna,NQC
BADULLA,2019,MEDICINE University of Ruhuna,2.1766
MONARAGALA,2019,MEDICINE University of Ruhuna,NQC
KEGALLE,2019,MEDICINE University of Ruhuna,2.1956
RATNAPURA,2019,MEDICINE University of Ruhuna,2.1398
COLOMBO,2019,MEDICINE University of Moratuwa,2.0676
GAMPAHA,2019,MEDICINE University of Moratuwa,1.9289
KALUTARA,2019,MEDICINE University of Moratuwa,NQC
MATALE,2019,MEDICINE University of Moratuwa,2.1129
KANDY,2019,MEDICINE University of Moratuwa,2.0031
NUWARA ELIYA,2019,MEDICINE University of Moratuwa,1.9691
GALLE,2019,MEDICINE University of Moratuwa,2.0238
MATARA,2019,MEDICINE University of Moratuwa,2.1371
HAMBANTOTA,2019,MEDICINE University of Moratuwa,NQC
JAFFNA,2019,MEDICINE University of Moratuwa,2.0147
KILINOCHCHI,2019,MEDICINE University of Moratuwa,NQC
MANNAR,2019,MEDICINE University of Moratuwa,NQC
MULLAITIVU,2019,MEDICINE University of Moratuwa,NQC
VAVUNIYA,2019,MEDICINE University of Moratuwa,1.8969
TRINCOMALEE,2019,MEDICINE University of Moratuwa,1.9202
BATTICALOA,2019,MEDICINE University of Moratuwa,1.9118
AMPARA,2019,MEDICINE University of Moratuwa,1.8797
PUTTALAM,2019,MEDICINE University of Moratuwa,NQC
KURUNEGALA,2019,MEDICINE University of Moratuwa,NQC
ANURADHAPURA,2019,MEDICINE University of Moratuwa,1.9954
POLONNARUWA,2019,MEDICINE University of Moratuwa,NQC
BADULLA,2019,MEDICINE University of Moratuwa,NQC
MONARAGALA,2019,MEDICINE University of Moratuwa,1.9195
KEGALLE,2019,MEDICINE University of Moratuwa,NQC
RATNAPURA,2019,MEDICINE University of Moratuwa,1.9329
COLOMBO,2019,"MEDICINE Eastern University, Sri Lanka",NQC
GAMPAHA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
KALUTARA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
MATALE,2019,"MEDICINE Eastern University, Sri Lanka",NQC
KANDY,2019,"MEDICINE Eastern University, Sri Lanka",NQC
NUWARA ELIYA,2019,"MEDICINE Eastern University, Sri Lanka",1.4744
GALLE,2019,"MEDICINE Eastern University, Sri Lanka",NQC
MATARA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
HAMBANTOTA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
JAFFNA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
KILINOCHCHI,2019,"MEDICINE Eastern University, Sri Lanka",1.6855
MANNAR,2019,"MEDICINE Eastern University, Sri Lanka",1.9176
MULLAITIVU,2019,"MEDICINE Eastern University, Sri Lanka",1.2427
VAVUNIYA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
TRINCOMALEE,2019,"MEDICINE Eastern University, Sri Lanka",NQC
BATTICALOA,2019,"MEDICINE Eastern University, Sri Lanka",1.8353
AMPARA,2019,"MEDICINE Eastern University, Sri Lanka",1.7481
PUTTALAM,2019,"MEDICINE Eastern University, Sri Lanka",NQC
KURUNEGALA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
ANURADHAPURA,2019,"MEDICINE Eastern University, Sri Lanka",1.6484
POLONNARUWA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
BADULLA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
MONARAGALA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
KEGALLE,2019,"MEDICINE Eastern University, Sri Lanka",NQC
RATNAPURA,2019,"MEDICINE Eastern University, Sri Lanka",NQC
COLOMBO,2019,MEDICINE Rajarata University of Sri Lanka,2.0957
GAMPAHA,2019,MEDICINE Rajarata University of Sri Lanka,2.0626
KALUTARA,2019,MEDICINE Rajarata University of Sri Lanka,2.0672
MATALE,2019,MEDICINE Rajarata University of Sri Lanka,2.1166
KANDY,2019,MEDICINE Rajarata University of Sri Lanka,2.058
NUWARA ELIYA,2019,MEDICINE Rajarata University of Sri Lanka,2.0357
GALLE,2019,MEDICINE Rajarata University of Sri Lanka,2.1302
MATARA,2019,MEDICINE Rajarata University of Sri Lanka,NQC
HAMBANTOTA,2019,MEDICINE Rajarata University of Sri Lanka,2.0457
JAFFNA,2019,MEDICINE Rajarata University of Sri Lanka,NQC
KILINOCHCHI,2019,MEDICINE Rajarata University of Sri Lanka,NQC
MANNAR,2019,MEDICINE Rajarata University of Sri Lanka,NQC
MULLAITIVU,2019,MEDICINE Rajarata University of Sri Lanka,NQC
VAVUNIYA,2019,MEDICINE Rajarata University of Sri Lanka,NQC
TRINCOMALEE,2019,MEDICINE Rajarata University of Sri Lanka,NQC
BATTICALOA,2019,MEDICINE Rajarata University of Sri Lanka,NQC
AMPARA,2019,MEDICINE Rajarata University of Sri Lanka,2.067
PUTTALAM,2019,MEDICINE Rajarata University of Sri Lanka,2.0744
KURUNEGALA,2019,MEDICINE Rajarata University of Sri Lanka,2.0431
ANURADHAPURA,2019,MEDICINE Rajarata University of Sri Lanka,NQC
POLONNARUWA,2019,MEDICINE Rajarata University of Sri Lanka,NQC
BADULLA,2019,MEDICINE Rajarata University of Sri Lanka,2.0379
MONARAGALA,2019,MEDICINE Rajarata University of Sri Lanka,NQC
KEGALLE,2019,MEDICINE Rajarata University of Sri Lanka,2.0407
RATNAPURA,2019,MEDICINE Rajarata University of Sri Lanka,2.0393
COLOMBO,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
GAMPAHA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.9173
KALUTARA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
MATALE,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.8842
KANDY,2019,MEDICINE Sabaragamuwa University of Sri Lanka,2.013
NUWARA ELIYA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
GALLE,2019,MEDICINE Sabaragamuwa University of Sri Lanka,2.0427
MATARA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
HAMBANTOTA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.8262
JAFFNA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
KILINOCHCHI,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
MANNAR,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
MULLAITIVU,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
VAVUNIYA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
TRINCOMALEE,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
BATTICALOA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
AMPARA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.7345
PUTTALAM,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
KURUNEGALA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
ANURADHAPURA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.687
POLONNARUWA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.7857
BADULLA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.8267
MONARAGALA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.9727
KEGALLE,2019,MEDICINE Sabaragamuwa University of Sri Lanka,NQC
RATNAPURA,2019,MEDICINE Sabaragamuwa University of Sri Lanka,1.9595
COLOMBO,2019,MEDICINE Wayamba University of Sri Lanka,NQC
GAMPAHA,2019,MEDICINE Wayamba University of Sri Lanka,1.9238
KALUTARA,2019,MEDICINE Wayamba University of Sri Lanka,NQC
MATALE,2019,MEDICINE Wayamba University of Sri Lanka,1.9473
KANDY,2019,MEDICINE Wayamba University of Sri Lanka,1.9852
NUWARA ELIYA,2019,MEDICINE Wayamba University of Sri Lanka,1.8684
GALLE,2019,MEDICINE Wayamba University of Sri Lanka,NQC
MATARA,2019,MEDICINE Wayamba University of Sri Lanka,NQC
HAMBANTOTA,2019,MEDICINE Wayamba University of Sri Lanka,NQC
JAFFNA,2019,MEDICINE Wayamba University of Sri Lanka,NQC
KILINOCHCHI,2019,MEDICINE Wayamba University of Sri Lanka,NQC
MANNAR,2019,MEDICINE Wayamba University of Sri Lanka,NQC
MULLAITIVU,2019,MEDICINE Wayamba University of Sri Lanka,NQC
VAVUNIYA,2019,MEDICINE Wayamba University of Sri Lanka,1.7894
TRINCOMALEE,2019,MEDICINE Wayamba University of Sri Lanka,NQC
BATTICALOA,2019,MEDICINE Wayamba University of Sri Lanka,NQC
AMPARA,2019,MEDICINE Wayamba University of Sri Lanka,NQC
PUTTALAM,2019,MEDICINE Wayamba University of Sri Lanka,1.9267
KURUNEGALA,2019,MEDICINE Wayamba University of Sri Lanka,2.0436
