District,year,degree,z-score_cutoff
MANNAR,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,NQC
MULLAITIVU,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,NQC
VAVUNIYA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,NQC
TRINCOMALEE,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,NQC
BATTICALOA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,0.8021
AMPARA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,0.2531
PUTTALAM,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,NQC
KURUNEGALA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,0.6169
ANURADHAPURA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,-0.0345
POLONNARUWA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,0.0778
BADULLA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,0.2706
MONARAGALA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,0.5746
KEGALLE,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,0.6021
RATNAPURA,2022,LANDSCAPE ARCHITECTURE  University of Moratuwa,0.2226
COLOMBO,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0697
GAMPAHA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.9684
KALUTARA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0595
MATALE,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.08
KANDY,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.9261
NUWARA ELIYA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.8728
GALLE,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0997
MATARA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0875
HAMBANTOTA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0208
JAFFNA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.108
KILINOCHCHI,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0034
MANNAR,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.8482
MULLAITIVU,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.9077
VAVUNIYA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0356
TRINCOMALEE,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.1375
BATTICALOA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.9939
AMPARA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0158
PUTTALAM,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.8864
KURUNEGALA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0637
ANURADHAPURA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.9754
POLONNARUWA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,0.7398
BADULLA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0761
MONARAGALA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.1026
KEGALLE,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.1404
RATNAPURA,2022,TOWN & COUNTRY PLANNING University of Moratuwa,1.0998
COLOMBO,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,1.171
GAMPAHA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.8354
KALUTARA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,1.2241
MATALE,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.8278
KANDY,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.7925
NUWARA ELIYA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,-0.0576
GALLE,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.9833
MATARA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.6762
HAMBANTOTA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.6245
JAFFNA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.9751
KILINOCHCHI,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,NQC
MANNAR,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,NQC
MULLAITIVU,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,NQC
VAVUNIYA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,NQC
TRINCOMALEE,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.2069
BATTICALOA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,NQC
AMPARA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.7401
PUTTALAM,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.7015
KURUNEGALA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,1.0022
ANURADHAPURA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.3905
POLONNARUWA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,1.1116
BADULLA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.5494
MONARAGALA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.6034
KEGALLE,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.9389
RATNAPURA,2022,FASHION DESIGN & PRODUCT DEVELOPMENT  University of Moratuwa,0.5435
COLOMBO,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.0481
GAMPAHA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.0455
KALUTARA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.056
MATALE,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.0039
KANDY,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.8855
NUWARA ELIYA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.0535
GALLE,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.1122
MATARA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.0723
HAMBANTOTA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.9027
JAFFNA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.9617
KILINOCHCHI,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.3238
MANNAR,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.5693
MULLAITIVU,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.2498
VAVUNIYA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.7488
TRINCOMALEE,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.3678
BATTICALOA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.0229
AMPARA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.6088
PUTTALAM,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.4693
KURUNEGALA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.9247
ANURADHAPURA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.6915
POLONNARUWA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.5049
BADULLA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.9214
MONARAGALA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.9966
KEGALLE,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,2.0723
RATNAPURA,2022,ARTIFICIAL INTELLIGENCE University of Moratuwa,1.9903
COLOMBO,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.6983
GAMPAHA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.567
KALUTARA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.6458
MATALE,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.3254
KANDY,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.639
NUWARA ELIYA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.3012
GALLE,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.7065
MATARA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.7336
HAMBANTOTA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.6923
JAFFNA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.7388
KILINOCHCHI,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.3178
MANNAR,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.4707
MULLAITIVU,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.4911
VAVUNIYA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.5225
TRINCOMALEE,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.5588
BATTICALOA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.531
AMPARA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.4474
PUTTALAM,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.3475
KURUNEGALA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.6197
ANURADHAPURA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.47
POLONNARUWA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.3141
BADULLA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.4983
MONARAGALA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.4741
KEGALLE,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.5964
RATNAPURA,2022,INFORMATION TECHNOLOGY & MANAGEMENT  University of Moratuwa,1.5941
COLOMBO,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5402
GAMPAHA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4289
KALUTARA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5413
MATALE,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4563
KANDY,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4694
NUWARA ELIYA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4563
GALLE,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4443
MATARA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5603
HAMBANTOTA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4689
JAFFNA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.3551
KILINOCHCHI,2022,FACILITIES MANAGEMENT University of Moratuwa,1.1817
MANNAR,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4705
MULLAITIVU,2022,FACILITIES MANAGEMENT University of Moratuwa,1.1849
VAVUNIYA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5549
TRINCOMALEE,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5491
BATTICALOA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4509
AMPARA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.2264
PUTTALAM,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4384
KURUNEGALA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.3966
ANURADHAPURA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5064
POLONNARUWA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4111
BADULLA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5751
MONARAGALA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5587
KEGALLE,2022,FACILITIES MANAGEMENT University of Moratuwa,1.4342
RATNAPURA,2022,FACILITIES MANAGEMENT University of Moratuwa,1.5024
COLOMBO,2022,BUSINESS SCIENCE University of Moratuwa,1.9698
GAMPAHA,2022,BUSINESS SCIENCE University of Moratuwa,1.8747
KALUTARA,2022,BUSINESS SCIENCE University of Moratuwa,1.9138
MATALE,2022,BUSINESS SCIENCE University of Moratuwa,1.9048
KANDY,2022,BUSINESS SCIENCE University of Moratuwa,1.7062
NUWARA ELIYA,2022,BUSINESS SCIENCE University of Moratuwa,1.6831
GALLE,2022,BUSINESS SCIENCE University of Moratuwa,1.9024
MATARA,2022,BUSINESS SCIENCE University of Moratuwa,2.01
HAMBANTOTA,2022,BUSINESS SCIENCE University of Moratuwa,1.6099
JAFFNA,2022,BUSINESS SCIENCE University of Moratuwa,1.3797
KILINOCHCHI,2022,BUSINESS SCIENCE University of Moratuwa,0.929
MANNAR,2022,BUSINESS SCIENCE University of Moratuwa,1.7639
MULLAITIVU,2022,BUSINESS SCIENCE University of Moratuwa,1.4431
VAVUNIYA,2022,BUSINESS SCIENCE University of Moratuwa,2.0405
TRINCOMALEE,2022,BUSINESS SCIENCE University of Moratuwa,1.6668
BATTICALOA,2022,BUSINESS SCIENCE University of Moratuwa,1.5441
AMPARA,2022,BUSINESS SCIENCE University of Moratuwa,1.6587
PUTTALAM,2022,BUSINESS SCIENCE University of Moratuwa,1.848
KURUNEGALA,2022,BUSINESS SCIENCE University of Moratuwa,1.6678
ANURADHAPURA,2022,BUSINESS SCIENCE University of Moratuwa,1.8292
POLONNARUWA,2022,BUSINESS SCIENCE University of Moratuwa,1.8008
BADULLA,2022,BUSINESS SCIENCE University of Moratuwa,1.6827
MONARAGALA,2022,BUSINESS SCIENCE University of Moratuwa,1.8142
KEGALLE,2022,BUSINESS SCIENCE University of Moratuwa,1.8571
RATNAPURA,2022,BUSINESS SCIENCE University of Moratuwa,1.9577
COLOMBO,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2869
GAMPAHA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2593
KALUTARA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2416
MATALE,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.0975
KANDY,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2782
NUWARA ELIYA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,0.8723
GALLE,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.3176
MATARA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2872
HAMBANTOTA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.3374
JAFFNA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.215
KILINOCHCHI,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,0.872
MANNAR,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,0.5469
MULLAITIVU,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,0.5726
VAVUNIYA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2292
TRINCOMALEE,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.0293
BATTICALOA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.1579
AMPARA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.0165
PUTTALAM,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.0541
KURUNEGALA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2803
ANURADHAPURA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.1118
POLONNARUWA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,0.7717
BADULLA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2877
MONARAGALA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.1301
KEGALLE,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.3233
RATNAPURA,2022,INDUSTRIAL STATISTICS & MATHEMATICAL FINANCE University of Colombo,1.2318
COLOMBO,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0288
GAMPAHA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0215
KALUTARA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0783
MATALE,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.892
KANDY,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.9673
NUWARA ELIYA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.6082
GALLE,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0711
MATARA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0809
HAMBANTOTA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.1104
JAFFNA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0583
KILINOCHCHI,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.4734
MANNAR,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.3522
MULLAITIVU,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.5371
VAVUNIYA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.8896
TRINCOMALEE,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.9288
BATTICALOA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0484
AMPARA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.8596
PUTTALAM,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.9377
KURUNEGALA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0196
ANURADHAPURA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.9891
POLONNARUWA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.704
BADULLA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0562
MONARAGALA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,0.8842
KEGALLE,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0717
RATNAPURA,2022,FINANCIAL MATHEMATICS AND INDUSTRIAL STATISTICS University of Ruhuna,1.0688
COLOMBO,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.2705
GAMPAHA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.2686
KALUTARA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3111
MATALE,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.278
KANDY,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3497
NUWARA ELIYA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.0681
GALLE,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3609
MATARA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3502
HAMBANTOTA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3608
JAFFNA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3553
KILINOCHCHI,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,0.8949
MANNAR,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,0.7306
MULLAITIVU,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,0.5698
VAVUNIYA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.0531
TRINCOMALEE,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.1016
BATTICALOA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.2576
AMPARA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.0712
PUTTALAM,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.064
KURUNEGALA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3563
ANURADHAPURA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.2189
POLONNARUWA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,0.9675
BADULLA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3069
MONARAGALA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.2613
KEGALLE,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3095
RATNAPURA,2022,STATISTICS & OPERATIONS RESEARCH University of Peradeniya,1.3252
COLOMBO,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9222
GAMPAHA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9961
KALUTARA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9233
MATALE,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9493
KANDY,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,2.0302
NUWARA ELIYA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.7989
GALLE,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9887
MATARA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,2.073
HAMBANTOTA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9968
JAFFNA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.8949
KILINOCHCHI,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,2.0612
MANNAR,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.92
MULLAITIVU,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9218
VAVUNIYA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.7666
TRINCOMALEE,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,2.0327
BATTICALOA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9766
AMPARA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9955
PUTTALAM,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.8688
KURUNEGALA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,2.0336
ANURADHAPURA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9597
POLONNARUWA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,2.0047
BADULLA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9882
MONARAGALA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9926
KEGALLE,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,1.9588
RATNAPURA,2022,GEOGRAPHICAL INFORMATION SCIENCE University of Peradeniya,2.0209
COLOMBO,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.1812
GAMPAHA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2055
KALUTARA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2078
MATALE,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,NQC
KANDY,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2129
NUWARA ELIYA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2299
GALLE,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.178
MATARA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2019
HAMBANTOTA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.3559
JAFFNA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2029
KILINOCHCHI,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,NQC
MANNAR,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2409
MULLAITIVU,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,NQC
VAVUNIYA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,NQC
TRINCOMALEE,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,NQC
BATTICALOA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2695
AMPARA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.361
PUTTALAM,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,NQC
KURUNEGALA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.3119
ANURADHAPURA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2306
POLONNARUWA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,NQC
BADULLA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,2.1134
MONARAGALA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,NQC
KEGALLE,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.1952
RATNAPURA,2022,INFORMATION SYSTEMS  University of Colombo School of Computing,1.2978
COLOMBO,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.1415
GAMPAHA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.1482
KALUTARA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.2117
MATALE,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.5958
KANDY,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.3269
NUWARA ELIYA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
GALLE,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.1591
MATARA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
HAMBANTOTA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.2605
JAFFNA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
KILINOCHCHI,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
MANNAR,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
MULLAITIVU,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
VAVUNIYA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
TRINCOMALEE,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
BATTICALOA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
AMPARA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,NQC
PUTTALAM,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.1742
KURUNEGALA,2022,INFORMATION SYSTEMS  University of Sri Jayewardenepura,1.1651
