District,No. Sat,Eligible for University Entrance,No.,%
Colombo,2688,1838,68.38
Kilinochchi,114,72,63.16
Jaffna,779,482,61.87
Kalutara,1018,609,59.82
Gampaha,1648,970,58.86
Batticaloa,502,293,58.37
Puttalam,493,284,57.61
Matar,985,552,56.04
Trincomalee,331,182,54.98
Mannar,102,56,54.90
Galle,1271,694,54.60
Kandy,1615,860,53.25
Mullaitivu,81,42,51.85
Kurunegala,1567,802,51.18
Badulla,784,399,50.89
Ratnapura,943,476,50.48
Vavuniya,170,85,50.00
Ampara,730,355,48.63
Kegalle,972,467,48.05
Nuwara Eliya,518,239,46.14
Hambantota,722,317,43.91
Matale,443,179,40.41
Anuradhapura,703,266,37.84
Monaragala,372,136,36.56
Polonnaruwa,338,117,34.62
All Island,19889,10772,54.16
