District,No. Sat,Eligible for University Entrance,No.,%
Kegalle,588,459,78.06
Kurunegala,857,659,76.90
Matale,344,262,76.16
Kilinochchi,59,44,74.58
Colombo,564,419,74.29
Gampaha,649,469,72.27
Mannar,53,38,71.70
Puttalam,237,169,71.31
Badulla,596,419,70.30
Galle,341,237,69.50
Ampara,552,382,69.20
Jaffna,266,184,69.17
Kandy,888,611,68.81
Matara,466,320,68.67
Ratnapura,687,466,67.83
Hambantota,351,238,67.81
Anuradhapura,483,324,67.08
Trincomalee,189,126,66.67
Monaragala,306,202,66.01
Kalutara,436,285,65.37
Batticaloa,343,216,62.97
Polonnaruwa,239,150,62.76
Vavuniya,52,31,59.62
Mullaitivu,46,20,43.48
Nuwara Eliya,424,255,60.14
All Island,10016,6985,69.74
