District,No. Sat,Eligible for University Entrance,No.,%
Batticaloa,625,383,61.28
Matara,2159,1291,59.80
Jaffna,1355,807,59.56
Colombo,4842,2872,59.31
Galle,2530,1489,58.85
Puttalam,754,436,57.82
Trincomalee,371,213,57.41
Kalutara,2144,1246,58.12
Kegalle,1414,788,55.73
Kandy,2291,1268,55.35
Badulla,1500,822,54.80
Matale,526,288,54.75
Kurunegala,2797,1525,54.52
Mannar,197,105,53.30
Ampara,101,54,53.47
Hambantota,1529,810,52.98
Ratnapura,1484,784,52.83
Gampaha,3517,1851,52.63
Monaragala,591,302,51.10
Anuradhapura,1221,607,49.71
Polonnaruwa,468,231,49.36
Kilinochchi,202,98,48.51
Mullaitivu,134,65,48.51
Vavuniya,222,106,47.75
Nuwara Eliya,745,346,46.44
All Island,34991,19233,54.96
