District,No. Sat,Eligible for University Entrance,%
Trincomalee,104,88,84.62
Vavuniya,48,40,83.33
Badulla,527,425,80.65
Kalutara,298,235,78.86
Batticaloa,212,167,78.77
Ampara,288,226,78.47
Kegalle,465,363,78.06
Gampaha,491,377,76.78
Colombo,443,336,75.85
Jaffna,111,84,75.68
Anuradhapura,337,253,75.07
Matale,260,194,74.62
Kurunegala,637,469,73.63
Puttalam,145,106,73.10
Mullaitivu,26,19,73.08
Kandy,647,468,72.33
Matara,377,271,71.88
Galle,258,184,71.32
Polonnaruwa,145,102,70.34
Monaragala,255,178,69.80
Ratnapura,596,416,69.80
Nuwara Eliya,315,215,68.25
Hambantota,373,253,67.83
Mannar,29,19,65.52
Kilinochchi,21,13,61.90
All Island,7408,5501,74.26
