District,No. Sat,Eligible for University Entrance,No.,%
Mannar,227,174,76.65
Puttalam,1412,1046,74.08
Colombo,8718,6246,71.64
Kurunegala,2657,1900,71.51
Mullaitivu,177,124,70.06
Kilinochchi,188,131,69.68
Jaffna,930,648,69.68
Kalutara,2763,1921,69.53
Batticaloa,771,535,69.39
Matar,1530,1048,68.50
Ampara,964,652,67.63
Gampaha,5613,3687,65.69
Anuradhapura,1593,1040,65.29
Galle,2379,1550,65.15
Polonnaruwa,753,489,64.77
Nuwara Eliya,1154,739,64.04
Vavuniya,320,204,63.75
Badulla,1599,1016,63.54
Hambantota,922,584,63.34
Kegalle,1508,954,63.26
Ratnapura,1911,1202,62.90
Kandy,3275,2047,62.50
Monaragala,796,483,60.68
Trincomalee,569,342,60.11
Matale,914,547,59.85
All Island,43645,29309,67.15
