District,No. Sat,Eligible for University Entrance,%
Batticaloa,898,654,72.83
Jaffna,949,685,72.18
Puttalam,1654,1178,71.22
Monaragala,1210,852,70.41
Kurunegala,3688,2583,70.04
Colombo,947,6959,69.96
Badulla,2102,1452,69.08
Nuwara Eliya,1672,1136,67.94
Galle,2992,2028,67.78
Matara,2266,1534,67.70
Matale,1251,845,67.55
Mannar,270,182,67.41
Kilinochchi,241,162,67.22
Ampara,1217,810,66.56
Kandy,4366,2873,65.86
Kegalle,2243,1479,65.94
Kalutara,3592,2360,65.70
Ratnapura,2904,1906,65.63
Polonnaruwa,1016,665,65.45
Gampaha,6846,4453,65.05
Trincomalee,669,432,64.57
Anuradhapura,2188,1376,62.89
Mullaitivu,229,144,62.88
Hambantota,1365,851,62.34
Vavuniya,326,200,61.35
All Island,56091,37799,67.39
