District,No. Sat,Eligible for University Entrance,No.,%
Matale,322,223,69.25
Colombo,1185,818,69.03
Kalutara,622,418,67.20
Anuradhapura,578,376,65.05
Puttalam,400,252,63.00
Matara,619,381,61.55
Kurunegala,1268,757,59.70
Badulla,539,316,58.63
Galle,560,330,58.93
Gampaha,1335,762,57.08
Batticaloa,284,160,56.34
Hambantota,431,234,54.29
Ratnapura,743,403,54.24
Mullaitivu,74,11,14.86
Trincomalee,135,70,51.85
Kegalle,637,323,50.71
Jaffna,348,170,48.85
Vavuniya,43,21,48.84
Kandy,872,425,48.74
Monaragala,300,142,47.33
Polonnaruwa,221,102,46.15
Nuwara Eliya,427,194,45.43
Ampara,492,204,41.46
Kilinochchi,62,24,38.71
Mannar,35,9,25.71
All Island,12487,7135,57.16
