District,No. Sat,Eligible for University Entrance,%
Mannar,606,504,83.17
Mullaitivu,602,477,79.24
Trincomalee,1722,1356,78.75
Kilinochchi,670,495,73.88
Batticaloa,2688,1980,73.66
Badulla,4161,2981,71.64
Jaffna,2604,1859,71.39
Ampara,3474,2474,71.21
Nuwara Eliya,2974,2103,70.71
Vavuniya,722,509,70.50
Puttalam,2825,1988,70.37
Monaragala,2242,1556,69.40
Kandy,4048,2801,69.19
Polonnaruwa,1743,1152,66.09
Ratnapura,5025,3318,66.03
Anuradhapura,4270,2807,65.74
Matale,2679,1745,65.14
Kurunegala,8467,5497,64.92
Galle,4627,2983,64.47
Kalutara,4556,2936,64.44
Matara,3663,2297,62.71
Gampaha,6801,4234,62.26
Colombo,5950,3684,61.92
Kegalle,4565,2804,61.41
Hambantota,2952,1804,61.11
All Island,86580,57550,66.47
