District,No. Sat,Eligible for University Entrance,No.,%
Vavuniya,622,472,75.88
Puttalam,2228,1646,73.88
Mannar,493,362,73.43
Nuwara Eliya,2277,1652,72.55
Mullaitivu,450,320,71.11
Monaragala,1700,1197,70.41
Jaffna,2293,1614,70.39
Trincomalee,1355,942,69.52
Kegalle,3206,2214,69.06
Badulla,3198,2183,68.26
Kurunegala,6912,4703,68.04
Anuradhapura,3359,2275,67.75
Ampara,2157,1435,66.53
Kilinochchi,437,290,66.36
Ratnapura,3859,2521,65.33
Colombo,5161,3324,64.41
Batticaloa,1829,1167,63.81
Gampaha,6114,3873,63.35
Matar,2946,1863,63.24
Galle,3571,2223,62.25
Hambantota,2340,1441,61.58
Polonnaruwa,1452,888,61.16
Matale,2139,1286,60.12
Kandy,5553,3335,60.06
All Island,69297,45675,65.91
