District,stream,degree,year,students_sat,students_passed,z-score_cutoff
anuradhapura,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2022,1321,599,0.7015
badulla,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2022,1328,726,0.738
monaragala,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2022,805,384,0.7958
kegalle,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2022,1485,750,0.712
ratnapura,biological science,AGRICULTURE Sabaragamuwa University of Sri Lanka,2022,1851,992,0.6883
colombo,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,3744,2329,0.5923
gampaha,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,2409,1407,0.6036
kalutara,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1674,998,0.5923
matale,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,663,348,0.6231
kandy,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,2496,1366,0.6098
nuwara eliya,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,845,405,0.6297
galle,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1964,1174,0.5863
matara,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1442,822,0.5887
hambantota,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1291,722,0.6287
jaffna,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1263,825,0.6797
mannar,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,163,101,0.8777
trincomalee,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,603,393,0.69
batticaloa,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,924,587,0.5791
ampara,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1254,711,0.5914
puttalam,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,915,573,0.5783
kurunegala,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,2675,1470,0.6308
anuradhapura,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1321,599,0.5884
polonnaruwa,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,590,262,0.5797
badulla,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1328,726,0.5809
monaragala,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,805,384,0.6198
kegalle,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1485,750,0.5924
ratnapura,biological science,AGRICULTURE Wayamba University of Sri Lanka,2022,1851,992,0.5902
colombo,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,3744,2329,1.0529
gampaha,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,2409,1407,1.1113
kalutara,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1674,998,1.2161
matale,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,663,348,1.1317
kandy,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,2496,1366,1.0935
nuwara eliya,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,845,405,1.0887
galle,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1964,1174,1.1207
matara,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1442,822,1.1777
hambantota,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1291,722,1.1177
jaffna,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1263,825,1.2116
kilinochchi,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,239,136,0.7893
mannar,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,163,101,1.1268
mullaitivu,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,166,98,0.9533
vavuniya,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,287,157,0.9612
trincomalee,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,603,393,1.1347
batticaloa,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,924,587,1.175
ampara,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1254,711,1.2193
puttalam,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,915,573,1.1472
kurunegala,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,2675,1470,1.1517
anuradhapura,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1321,599,1.0755
polonnaruwa,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,590,262,1.111
badulla,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1328,726,1.117
monaragala,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,805,384,1.2099
kegalle,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1485,750,1.1986
ratnapura,biological science,FOOD SCIENCE & NUTRITION Wayamba University of Sri Lanka,2022,1851,992,1.1127
colombo,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,3744,2329,1.5034
gampaha,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,2409,1407,1.5113
kalutara,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,1674,998,1.5138
kandy,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,2496,1366,1.5677
galle,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,1964,1174,1.544
matara,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,1442,822,1.6068
hambantota,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,1291,722,1.5091
jaffna,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,1263,825,1.5054
kurunegala,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,2675,1470,1.509
monaragala,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,805,384,1.5401
kegalle,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,1485,750,1.5336
ratnapura,biological science,FOOD SCIENCE & TECHNOLOGY University of Peradeniya,2022,1851,992,1.5053
colombo,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,3744,2329,1.4434
gampaha,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,2409,1407,1.4441
kalutara,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,1674,998,1.4433
kandy,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,2496,1366,1.4696
galle,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,1964,1174,1.4435
matara,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,1442,822,1.4624
hambantota,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,1291,722,1.4433
jaffna,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,1263,825,1.482
puttalam,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,915,573,1.4971
kurunegala,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,2675,1470,1.4671
monaragala,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,805,384,1.4761
kegalle,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,1485,750,1.5023
ratnapura,biological science,FOOD SCIENCE & TECHNOLOGY University of Sri Jayewardenepura,2022,1851,992,1.4642
colombo,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,3744,2329,1.3571
gampaha,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,2409,1407,1.2593
kalutara,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,1674,998,1.4426
matale,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,663,348,1.1763
kandy,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,2496,1366,1.1115
nuwara eliya,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,845,405,1.05
galle,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,1964,1174,1.4051
matara,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,1442,822,1.373
kilinochchi,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,239,136,1.1019
mannar,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,163,101,1.2822
mullaitivu,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,166,98,1.3428
vavuniya,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,287,157,1.0429
trincomalee,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,603,393,1.1645
batticaloa,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,924,587,1.2097
ampara,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,1254,711,1.1779
puttalam,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,915,573,1.035
kurunegala,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,2675,1470,1.3214
anuradhapura,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,1321,599,1.0521
polonnaruwa,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,590,262,0.9454
badulla,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,1328,726,1.1412
monaragala,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,805,384,1.3009
kegalle,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,1485,750,1.2941
ratnapura,biological science,FOOD SCIENCE & TECHNOLOGY Sabaragamuwa University of Sri Lanka,2022,1851,992,1.2154
colombo,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,3744,2329,1.5982
gampaha,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,2409,1407,1.6014
kalutara,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1674,998,1.5932
kandy,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,2496,1366,1.6031
galle,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1964,1174,1.5974
matara,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1442,822,1.6141
hambantota,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1291,722,1.6106
jaffna,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1263,825,1.6491
ampara,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1254,711,1.6068
puttalam,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,915,573,1.617
kurunegala,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,2675,1470,1.6216
badulla,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1328,726,1.6537
kegalle,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1485,750,1.618
ratnapura,biological science,BIOLOGICAL SCIENCE University of Colombo,2022,1851,992,1.5955
colombo,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,3744,2329,1.4293
gampaha,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,2409,1407,1.4238
kalutara,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1674,998,1.4375
matale,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,663,348,1.5053
kandy,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,2496,1366,1.4175
galle,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1964,1174,1.4172
matara,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1442,822,1.4226
hambantota,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1291,722,1.4273
jaffna,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1263,825,1.4511
trincomalee,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,603,393,1.4192
batticaloa,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,924,587,1.5038
puttalam,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,915,573,1.4391
kurunegala,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,2675,1470,1.4165
anuradhapura,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1321,599,1.4595
badulla,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1328,726,1.4312
monaragala,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,805,384,1.4993
kegalle,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1485,750,1.4343
ratnapura,biological science,BIOLOGICAL SCIENCE University of Peradeniya,2022,1851,992,1.419
colombo,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,3744,2329,1.3093
gampaha,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,2409,1407,1.3236
kalutara,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1674,998,1.3093
matale,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,663,348,1.3551
kandy,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,2496,1366,1.3109
galle,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1964,1174,1.3195
matara,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1442,822,1.3103
hambantota,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1291,722,1.3119
jaffna,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1263,825,1.3328
trincomalee,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,603,393,1.3766
batticaloa,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,924,587,1.3365
ampara,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1254,711,1.3223
puttalam,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,915,573,1.3112
kurunegala,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,2675,1470,1.3109
anuradhapura,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1321,599,1.3195
badulla,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1328,726,1.3184
monaragala,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,805,384,1.3949
kegalle,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1485,750,1.3208
ratnapura,biological science,BIOLOGICAL SCIENCE University of Sri Jayewardenepura,2022,1851,992,1.3121
colombo,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,3744,2329,1.2328
gampaha,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,2409,1407,1.2275
kalutara,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1674,998,1.2257
matale,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,663,348,1.2876
kandy,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,2496,1366,1.2349
nuwara eliya,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,845,405,1.3065
galle,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1964,1174,1.2282
matara,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1442,822,1.2297
hambantota,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1291,722,1.2442
jaffna,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1263,825,1.2634
vavuniya,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,287,157,1.2389
batticaloa,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,924,587,1.2483
ampara,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1254,711,1.2325
puttalam,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,915,573,1.2578
kurunegala,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,2675,1470,1.2277
anuradhapura,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1321,599,1.2341
badulla,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1328,726,1.2406
monaragala,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,805,384,1.2896
kegalle,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1485,750,1.2332
ratnapura,biological science,BIOLOGICAL SCIENCE University of Kelaniya,2022,1851,992,1.2282
colombo,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,3744,2329,1.0115
gampaha,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,2409,1407,0.8881
kalutara,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,1674,998,1.1666
matale,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,663,348,0.9068
kandy,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,2496,1366,0.9725
nuwara eliya,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,845,405,0.9122
hambantota,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,1291,722,0.9197
jaffna,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,1263,825,1.0082
kilinochchi,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,239,136,0.9132
mullaitivu,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,166,98,0.9179
vavuniya,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,287,157,1.1751
trincomalee,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,603,393,0.9871
batticaloa,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,924,587,1.0014
ampara,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,1254,711,0.8995
puttalam,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,915,573,0.9048
kurunegala,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,2675,1470,1.0926
anuradhapura,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,1321,599,0.8982
polonnaruwa,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,590,262,0.9443
badulla,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,1328,726,0.9045
monaragala,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,805,384,0.9548
kegalle,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,1485,750,1.1569
ratnapura,biological science,BIOLOGICAL SCIENCE University of Jaffna,2022,1851,992,0.8876
colombo,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,3744,2329,1.0732
gampaha,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,2409,1407,1.0822
kalutara,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1674,998,1.1478
matale,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,663,348,1.0788
kandy,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,2496,1366,1.0802
nuwara eliya,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,845,405,1.0935
galle,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1964,1174,1.085
matara,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1442,822,1.0802
hambantota,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1291,722,1.0923
batticaloa,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,924,587,1.0716
ampara,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1254,711,1.08
puttalam,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,915,573,1.0856
kurunegala,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,2675,1470,1.0851
anuradhapura,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1321,599,1.1203
polonnaruwa,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,590,262,1.1076
badulla,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1328,726,1.0729
monaragala,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,805,384,1.1236
kegalle,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1485,750,1.0843
ratnapura,biological science,BIOLOGICAL SCIENCE University of Ruhuna,2022,1851,992,1.0738
colombo,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,3744,2329,0.9949
gampaha,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,2409,1407,0.7536
matale,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,663,348,0.7426
kandy,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,2496,1366,0.979
nuwara eliya,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,845,405,0.749
galle,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,1964,1174,1.1413
hambantota,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,1291,722,0.8596
kilinochchi,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,239,136,0.8409
mannar,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,163,101,0.8468
mullaitivu,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,166,98,0.839
vavuniya,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,287,157,0.8075
trincomalee,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,603,393,0.9962
batticaloa,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,924,587,0.7572
ampara,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,1254,711,0.8038
puttalam,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,915,573,0.7416
anuradhapura,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,1321,599,0.7564
polonnaruwa,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,590,262,0.7709
badulla,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,1328,726,0.7613
monaragala,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,805,384,0.782
ratnapura,biological science,"BIOLOGICAL SCIENCE Eastern University, Sri Lanka",2022,1851,992,0.7368
colombo,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,3744,2329,0.9968
gampaha,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,2409,1407,0.5734
matale,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,663,348,0.7822
nuwara eliya,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,845,405,0.4179
hambantota,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,1291,722,0.7948
kilinochchi,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,239,136,0.6308
mannar,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,163,101,0.2566
vavuniya,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,287,157,0.4457
trincomalee,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,603,393,0.5396
batticaloa,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,924,587,0.6869
ampara,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,1254,711,0.8888
puttalam,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,915,573,0.5876
anuradhapura,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,1321,599,0.5119
polonnaruwa,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,590,262,0.3551
badulla,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,1328,726,0.6449
monaragala,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,805,384,0.4781
ratnapura,biological science,BIOLOGICAL SCIENCE South Eastern University of Sri Lanka,2022,1851,992,0.6316
colombo,physical science,ENGINEERING University of Peradeniya,2022,4500,2715,1.9034
gampaha,physical science,ENGINEERING University of Peradeniya,2022,3289,1798,1.9033
kalutara,physical science,ENGINEERING University of Peradeniya,2022,1895,1086,1.9109
matale,physical science,ENGINEERING University of Peradeniya,2022,445,247,1.9649
kandy,physical science,ENGINEERING University of Peradeniya,2022,2088,1180,1.9075
nuwara eliya,physical science,ENGINEERING University of Peradeniya,2022,617,290,1.977
galle,physical science,ENGINEERING University of Peradeniya,2022,2321,1430,1.9115
matara,physical science,ENGINEERING University of Peradeniya,2022,1921,1175,1.9095
hambantota,physical science,ENGINEERING University of Peradeniya,2022,1346,726,1.9035
jaffna,physical science,ENGINEERING University of Peradeniya,2022,1219,762,1.9054
vavuniya,physical science,ENGINEERING University of Peradeniya,2022,211,117,1.9561
trincomalee,physical science,ENGINEERING University of Peradeniya,2022,385,224,1.9674
batticaloa,physical science,ENGINEERING University of Peradeniya,2022,580,344,1.9032
ampara,physical science,ENGINEERING University of Peradeniya,2022,862,459,1.9111
puttalam,physical science,ENGINEERING University of Peradeniya,2022,715,417,1.9303
kurunegala,physical science,ENGINEERING University of Peradeniya,2022,2592,1458,1.9069
anuradhapura,physical science,ENGINEERING University of Peradeniya,2022,1136,536,1.9101
polonnaruwa,physical science,ENGINEERING University of Peradeniya,2022,430,210,1.9099
badulla,physical science,ENGINEERING University of Peradeniya,2022,1400,793,1.9119
monaragala,physical science,ENGINEERING University of Peradeniya,2022,603,332,1.9073
kegalle,physical science,ENGINEERING University of Peradeniya,2022,1243,697,1.9081
ratnapura,physical science,ENGINEERING University of Peradeniya,2022,1515,827,1.9074
colombo,physical science,ENGINEERING University of Sri Jayewardenepura,2022,4500,2715,1.7762
gampaha,physical science,ENGINEERING University of Sri Jayewardenepura,2022,3289,1798,1.7618
kalutara,physical science,ENGINEERING University of Sri Jayewardenepura,2022,1895,1086,1.7647
kandy,physical science,ENGINEERING University of Sri Jayewardenepura,2022,2088,1180,1.7482
galle,physical science,ENGINEERING University of Sri Jayewardenepura,2022,2321,1430,1.7652
matara,physical science,ENGINEERING University of Sri Jayewardenepura,2022,1921,1175,1.7507
hambantota,physical science,ENGINEERING University of Sri Jayewardenepura,2022,1346,726,1.7631
jaffna,physical science,ENGINEERING University of Sri Jayewardenepura,2022,1219,762,1.78
vavuniya,physical science,ENGINEERING University of Sri Jayewardenepura,2022,211,117,1.8165
trincomalee,physical science,ENGINEERING University of Sri Jayewardenepura,2022,385,224,1.8803
batticaloa,physical science,ENGINEERING University of Sri Jayewardenepura,2022,580,344,1.8462
puttalam,physical science,ENGINEERING University of Sri Jayewardenepura,2022,715,417,1.781
kurunegala,physical science,ENGINEERING University of Sri Jayewardenepura,2022,2592,1458,1.7552
anuradhapura,physical science,ENGINEERING University of Sri Jayewardenepura,2022,1136,536,1.8694
polonnaruwa,physical science,ENGINEERING University of Sri Jayewardenepura,2022,430,210,1.8118
badulla,physical science,ENGINEERING University of Sri Jayewardenepura,2022,1400,793,1.9777
