Year,District,Programme,Stream,Number,Passed,Z-Score
2022,JAFFNA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1968
2022,KILINOCHCHI,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1972
2022,MANNAR,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,
2022,MULLAITIVU,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,
2022,VAVUNIYA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1503
2022,TRINCOMALEE,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1783
2022,BATTICALOA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1621
2022,AMPARA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.169
2022,PUTTALAM,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1698
2022,KURUNEGALA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1529
2022,ANURADHAPURA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.185
2022,POLONNARUWA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1774
2022,BADULLA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1671
2022,MONARAGALA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,
2022,KEGALLE,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1465
2022,RATNAPURA,MEDICINE (University of Sri Jayewardenepura),Bio Science,40329.0,25851.0,2.1586
2022,COLOMBO,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0526
2022,GAMPAHA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0517
2022,KALUTARA,MEDICINE (University of Kelaniya),Bio Science,40329.0,25851.0,2.0514
